schema_version,timestamp_utc,git_commit,gpu_name,m,k,n,ncu_version,profile_duration_ms,fp32_peak_percent,dram_throughput_percent,dram_gbytes_per_second,l1tex_throughput_percent,l1tex_hit_rate_percent,l2_throughput_percent,l2_hit_rate_percent,compute_sm_throughput_percent,issue_slots_busy_percent,no_eligible_percent,active_warps_per_scheduler,eligible_warps_per_scheduler,lg_throttle_stall_percent,long_scoreboard_stall_percent,achieved_occupancy_percent
1,2026-08-20T07:41:14Z,95e9c04,NVIDIA A100 80GB PCIe,512,512,512,2025.2.0,0.15930,13.00,0.68,13.19,85.45,90.01,9.38,94.54,50.72,52.31,47.68,12.27,1.59,0.00,54.40,76.70
1,2026-08-20T07:03:05Z,95e9c04,NVIDIA A100 80GB PCIe,2048,2048,2048,2025.2.0,7.39,16.00,0.38,7.32,95.31,87.59,16.67,98.64,63.28,57.75,42.25,15.72,2.69,38.70,35.70,98.27
