schema_version,timestamp_utc,git_commit,hostname,gpu_name,compute_capability,driver_version,cuda_runtime_version,kernel,m,k,n,warmup_iterations,measured_iterations,total_kernel_time_ms,average_kernel_time_ms,achieved_gflops,correctness,mismatched_elements,maximum_absolute_error,maximum_relative_error
1,2026-08-21T07:59:42Z,1a67cf6,pax105,NVIDIA A100 80GB PCIe,8.0,12.9,12.9,microtile2x2,128,128,128,5,20,0.172032,0.008602,487.619030,PASS,0,0.000004,0.000468
1,2026-08-21T07:59:42Z,1a67cf6,pax105,NVIDIA A100 80GB PCIe,8.0,12.9,12.9,microtile2x2,256,256,256,5,20,0.285696,0.014285,2348.960605,PASS,0,0.000006,0.001131
1,2026-08-21T07:59:42Z,1a67cf6,pax105,NVIDIA A100 80GB PCIe,8.0,12.9,12.9,microtile2x2,512,512,512,5,20,0.915456,0.045773,5864.519226,PASS,0,0.000011,1.004078
1,2026-08-21T07:59:46Z,1a67cf6,pax105,NVIDIA A100 80GB PCIe,8.0,12.9,12.9,microtile2x2,1024,1024,1024,5,20,5.186560,0.259328,8280.955332,PASS,0,0.000023,0.077344
1,2026-08-21T08:00:16Z,1a67cf6,pax105,NVIDIA A100 80GB PCIe,8.0,12.9,12.9,microtile2x2,2048,2048,2048,5,20,38.190079,1.909504,8997.032608,PASS,0,0.000034,3.604833
